,project_owner,restriction,basic_price,bidding_month,mean_target_rate,std_target_rate,count_bidding,target_rate,winner_rate
9669,전라남도 여수시,여수,57675000,4,99.96796044444444,0.7897840154643215,90,100.37009,100.3864
9670,전라남도 여수시,여수,46299000,4,99.96796044444444,0.7897840154643215,90,100.0,
9671,전라남도교육청 전라남도목포교육지원청,목포,18284000,4,99.88513789473684,0.6528103820226291,38,99.30171,99.3842
9673,전라남도교육청 전라남도담양교육지원청,담양,41239000,4,99.56491363636364,0.811523213243938,22,100.46654000000001,100.4767
9674,한국도로공사 광주전남본부,광주/전남,344663000,4,100.02762500000001,0.7750535279901654,26,100.57075,100.5715
9675,전라남도 신안군,신안,55000000,4,99.72343063492062,0.8556087032593449,63,100.81754000000001,100.8199
9676,전라남도교육청 전라남도완도교육지원청,완도,63976000,4,99.51232769230771,0.7057911910420589,13,100.63558,100.9157
9677,한국전력공사 광주전남지역본부,전남,422332067,4,96.73871233628319,1.6673445025399536,565,96.88745,96.8877
9678,전라남도교육청 전라남도영광교육지원청,영광,35673000,4,99.92590277777776,0.5328898432112509,18,101.20518,101.227
9679,전라남도 해남군,전남,124580000,4,99.76002176470588,0.9072245423383527,34,100.13152,100.1325
9680,한국전력공사 광주전남지역본부,전남,28447785,4,96.74700359430605,1.666986812428303,562,94.32831,95.6466
9681,전라남도교육청 전라남도보성교육지원청,보성,15850000,4,99.87438923076924,0.512041211076829,13,100.05015,100.0629
9682,전라남도영암교육청,영암,27687000,4,99.89301666666667,0.7640632880854854,18,99.93543000000001,99.9919
9683,전라남도 완도군,완도,37576000,4,99.69555,0.6579498178606462,36,98.8309,98.8313
