,project_owner,restriction,basic_price,competitors,bidding_month,bidding_quarter,max_target_rate,min_target_rate,mean_target_rate,std_target_rate,count_bidding,target_rate,winner_rate
7247,한국공항공사 광주지사,광주,591173000,313,8,3Q,100.51504,99.51553,99.94666249999999,0.421227369669083,4,100.24475,100.2466
7248,한국토지주택공사 광주전남지역본부,광주,228281000,331,8,3Q,100.78376,99.04746999999999,99.85475699999999,0.5353211820373793,20,99.83572,99.8358
7249,한국전력공사 중부건설본부,광주,32344400,266,8,3Q,100.00089,94.02684,96.51318407407406,1.4921457487206364,27,96.03419,96.0399
7250,광주광역시 광산구,광주,112859000,375,8,3Q,101.41305,98.09353,100.02825133333334,0.8639673446564073,30,99.60953,99.6158
7251,광주광역시 광산구,광주,81257000,405,8,3Q,101.41305,98.09353,100.02825133333334,0.8639673446564073,30,99.87154,99.8745
7253,광주광역시도시철도공사,광주,18847000,352,8,3Q,101.14658,98.74686,99.91595090909091,0.6645548735274563,11,99.82596,99.8332
7254,광주광역시교육청,광주,11374000,367,8,3Q,101.60028,98.15535,99.87781297872341,0.8035482457895491,94,99.72107,99.7212
7255,광주광역시교육청 서진여자고등학교,광주,9801000,316,8,3Q,100.1787,99.83955,100.00912500000001,0.23981526483942014,2,100.40353,100.4252
7256,광주광역시 서구,광주,87648000,410,7,3Q,101.71828000000001,98.15077,99.58515631578948,0.8425319870829237,19,99.92609,99.928
7258,광주지방조달청,광주,81070000,404,7,3Q,101.27775,98.6635,99.83905115942026,0.6080243880909236,69,100.68456,100.69
7259,한국토지주택공사 광주전남지역본부,광주,208459000,326,7,3Q,100.78376,99.04746999999999,99.84473666666666,0.5188785810368606,18,100.59676,100.6235
7260,한국토지주택공사 광주전남지역본부,광주,166931000,327,7,3Q,100.78376,99.04746999999999,99.84473666666666,0.5188785810368606,18,99.29312,99.3045
7261,광주광역시교육청 광주광역시서부교육지원청 금당중학교,광주,9768000,311,7,3Q,0.0,0.0,0.0,0.0,0,100.42152,100.4491
7263,광주광역시 동구,광주,281083000,366,7,3Q,101.94386999999999,98.22315,99.69041899999999,0.9348965116400102,10,98.48051,98.4958
7265,광주광역시,광주,265350000,370,7,3Q,101.74056,98.28978000000001,99.86218873417722,0.7860812744539168,79,99.61601999999999,99.6161
7266,광주광역시교육청,광주,75120000,415,7,3Q,101.60028,98.15535,99.88812021978023,0.8125314282960626,91,99.34907,99.34899999999999
7268,광주광역시교육청,광주,7236000,321,7,3Q,101.60028,98.15535,99.88385516853933,0.8209488207571332,89,99.9423,99.9528
7269,광주광역시교육청,광주,23298000,406,7,3Q,101.60028,98.15535,99.88385516853933,0.8209488207571332,89,100.21353,100.2176
7270,광주광역시교육청 광주광역시동부교육지원청,광주,136158000,384,7,3Q,101.84909,98.44306,99.90730880733945,0.769485578615765,109,99.24101999999999,99.2801
7271,광주광역시서부교육청 정광중학교,광주,31284000,407,7,3Q,98.78031999999999,98.78031999999999,98.78031999999999,,1,99.34439,99.3493
7272,광주과학기술원,광주,63250000,382,7,3Q,100.95727,99.1771,100.06095611111111,0.47648874397098334,18,99.74707,99.7566
7273,광주광역시교육청 광주광역시서부교육지원청,광주,59760000,409,7,3Q,102.0498,97.92266,99.73085936000001,0.705068109847397,125,99.13658000000001,99.1783
7274,광주광역시교육청,광주,58696000,409,7,3Q,101.60028,98.15535,99.88092229885058,0.820485789169768,87,100.84209,100.8537
7275,광주광역시교육청,광주,82643000,413,7,3Q,101.60028,98.15535,99.88092229885058,0.820485789169768,87,99.18078,99.1872
7276,광주광역시교육청 광주공업고등학교,광주,31999000,411,7,3Q,100.14007,98.8531,99.69839333333333,0.7322928071702807,3,100.0014,100.0038
7277,광주광역시교육청 광주공업고등학교,광주,87329000,414,7,3Q,100.14007,98.8531,99.69839333333333,0.7322928071702807,3,100.0103,100.0114
7278,광주광역시교육청,광주,107767000,386,7,3Q,101.60028,98.15535,99.87615918604651,0.82408730293682,86,100.29055,100.2929
7279,광주광역시교육청 광주광역시서부교육지원청,광주,66015000,423,7,3Q,102.0498,97.92266,99.72995233870968,0.7078552125782229,124,99.84333000000001,99.846
7280,광주광역시 5.18기념문화센터,광주,72000000,72,7,3Q,0.0,0.0,0.0,0.0,0,100.13731999999999,100.15100000000001
7281,광주광역시,광주,160237000,381,7,3Q,101.74056,98.28978000000001,99.86171883116882,0.7913195215454236,77,100.43128,100.4449
7282,광주광역시동부교육청 전남대학교사범대학부속중학교,광주,22131000,398,7,3Q,0.0,0.0,0.0,0.0,0,100.17893000000001,100.1793
7283,광주광역시교육청 광주광역시서부교육지원청,광주,290205000,367,7,3Q,102.0498,97.92266,99.72957382113822,0.7107377372710566,123,99.77651,99.7789
7284,광주광역시교육청,광주,248292000,371,7,3Q,101.60028,98.15535,99.8597586746988,0.8278197751761018,83,100.61251,100.6198
7285,한국보훈복지의료공단 광주보훈병원,광주,71907000,401,7,3Q,100.42039,100.42039,100.42039,,1,100.4058,100.4108
7286,광주광역시교육청,광주,39391000,414,7,3Q,101.60028,98.15535,99.8597586746988,0.8278197751761018,83,100.80989,100.8135
7287,광주광역시교육청,광주,81620000,419,7,3Q,101.60028,98.15535,99.8597586746988,0.8278197751761018,83,99.56732,99.5697
7288,전남대학교,광주,25198000,376,7,3Q,101.20408,98.54878000000001,100.03152902439025,0.5418891269752742,41,99.90971,99.915
7289,보람의 집,광주,30360000,333,7,3Q,0.0,0.0,0.0,0.0,0,101.32839,101.33
7290,광주광역시교육청 광주광역시서부교육지원청,광주,172172000,376,7,3Q,102.0498,97.92266,99.72791687022901,0.6919576167023797,131,98.73476,98.7375
7291,광주광역시교육청 광주광역시서부교육지원청,광주,174900000,377,7,3Q,102.0498,97.92266,99.72791687022901,0.6919576167023797,131,99.68853,99.6913
7292,광주광역시교육청 광주광역시서부교육지원청,광주,98843000,381,7,3Q,102.0498,97.92266,99.72791687022901,0.6919576167023797,131,100.06055,100.0623
7294,한국전력공사 광주전남지역본부,광주/전남,29694900,1114,7,3Q,100.86272,93.28509,96.55986108778626,1.545635778248818,524,97.50425,97.51299999999999
7295,광주광역시교육청 광주광역시서부교육지원청,광주,78980000,399,7,3Q,102.0498,97.92266,99.72437715384616,0.693442796652919,130,100.18808,100.1881
7296,광주광역시교육청 광주광역시동부교육지원청,광주,63470000,408,7,3Q,101.84909,98.44306,99.90377221238937,0.7730116426536523,113,99.68378,99.6851
7297,광주광역시교육청 광주광역시동부교육지원청,광주,96356000,386,7,3Q,101.84909,98.44306,99.90377221238937,0.7730116426536523,113,100.26155,100.2647
