입찰공고번호,업무,업종코드,업종명,공고명,공고기관,수요기관,WTO품목번호,게시일시,입찰개시일시,입찰마감일시,예가방법,추첨번호공개여부,지역제한,참가가능지역,추정가격,기초금액,A값
20201003801-00,공사,0003,토목건축공사업,"오류~대천간(농어촌도로 지산103호선)도로 확포장공사(총괄분,1차분)",전라남도 진도군,전라남도 진도군,건설공사,2020/10/07 09:24,2020/10/08 10:00:00,2020/10/13 14:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[전라남도],421127272,463240000,29767070
20201003830-00,공사,0003,토목건축공사업,대교동(중교천인근) 공영주차장 조성공사,충청남도 논산시,충청남도 논산시,건설공사,2020/10/07 08:43,2020/10/12 14:00:00,2020/10/14 14:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[충청남도 논산시],74210909,81632000,0
20201003816-01,공사,0003,토목건축공사업,야탑고 통학로 확충공사,경기도교육청 야탑고등학교,경기도교육청 야탑고등학교,건설공사,2020/10/07 08:21,2020/10/07 14:00:00,2020/10/13 14:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경기도],175470000,193017000,9944481
20201003757-00,공사,0003,토목건축공사업,녹진관광지(물살체험장) 주변 정비공사,전라남도 진도군,전라남도 진도군,건설공사,2020/10/06 21:22,2020/10/07 10:00:00,2020/10/13 14:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[전라남도 진도군],228900000,251790000,0
20201003716-00,공사,0003,토목건축공사업,월성청소년수련원 짚라인 기능보강공사,경상남도 거창군,경상남도 거창군,건설공사,2020/10/06 20:37,2020/10/07 10:00:00,2020/10/13 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경상남도 거창군],83876364,92264000,0
20201003637-00,공사,0003,토목건축공사업,여주시 보존서고 리모델링공사,경기도 여주시,경기도 여주시,건설공사,2020/10/06 19:26,2020/10/08 10:00:00,2020/10/13 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경기도 여주시],132193636,145413000,0
20201003573-00,공사,0003,토목건축공사업,도계3리 진입로 환경정비공사,강원도 삼척시,강원도 삼척시,건설공사,2020/10/06 18:41,2020/10/07 10:00:00,2020/10/13 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[강원도 삼척시],372493640,409743000,0
20201003567-00,공사,0003,토목건축공사업,폐광지역 생활체육시설 환경개선사업(건축),강원도 삼척시,강원도 삼척시,건설공사,2020/10/06 18:36,2020/10/07 10:00:00,2020/10/13 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[강원도 삼척시],202240910,222465000,0
20201002930-02,공사,0003,토목건축공사업,수덕사 공중화장실 건축공사,충청남도 예산군,충청남도 예산군,건설공사,2020/10/06 18:00,2020/10/06 18:00:00,2020/10/13 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[충청남도 예산군],275963637,303560000,0
20201003474-00,공사,0003,토목건축공사업,원주향교 진출입도로(소로~남원로) 개설공사,강원도 원주시,강원도 원주시,건설공사,2020/10/06 17:55,2020/10/07 10:00:00,2020/10/13 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[강원도 원주시],203483636,223832000,0
20201003478-00,공사,0003,토목건축공사업,금일 연지 선착장 연장공사,전라남도 완도군,전라남도 완도군,건설공사,2020/10/06 17:52,2020/10/08 10:00:00,2020/10/13 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[전라남도 완도군],187256364,205982000,0
20201003468-00,공사,0003,토목건축공사업,원도심 가로경관 개선사업(4차),경상북도 포항시,경상북도 포항시,건설공사,2020/10/06 17:50,2020/10/07 10:00:00,2020/10/13 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경상북도 포항시],239727273,263700000,0
20201003458-00,공사,0003,토목건축공사업,신지 신상항 선착장 보강공사,전라남도 완도군,전라남도 완도군,건설공사,2020/10/06 17:47,2020/10/08 10:00:00,2020/10/13 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[전라남도 완도군],151163636,166280000,0
20201003420-00,공사,0003,토목건축공사업,계룡소방서 소방안전교실 설치 공사,충청남도 계룡소방서,충청남도 계룡소방서,건설공사,2020/10/06 17:36,2020/10/07 12:00:00,2020/10/16 12:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[충청남도],124138182,136552000,0
20201003402-00,공사,0003,토목건축공사업,지하철 승강편의시설 토목건축공사(3-13공구),서울교통공사,서울교통공사,건설공사,2020/10/06 17:35,2020/10/07 00:00:00,2020/10/13 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[서울특별시],1654383500,1654383500,278610153
20201002904-00,공사,0003,토목건축공사업,애향공원 내 테마공간 조성 공중화장실 설치공사,충청남도 예산군,충청남도 예산군,건설공사,2020/10/06 17:29,2020/10/06 18:00:00,2020/10/13 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[충청남도 예산군],240940909,265035000,0
20201003363-00,공사,0003,토목건축공사업,국도 18호선 회천 회전교차로 설치사업,전라남도,전라남도,건설공사,2020/10/06 17:21,2020/10/10 09:00:00,2020/10/13 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[전라남도],103942727,114337000,0
20201003366-00,공사,0003,토목건축공사업,가작~내령 위험도로 개선공사,전라북도 순창군,전라북도 순창군,건설공사,2020/10/06 17:19,2020/10/07 09:00:00,2020/10/13 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[전라북도 순창군],234170000,257587000,0
20201003340-00,공사,0003,토목건축공사업,2020년 지역특산물 활용 가공생산모델 구축 시범(민간입찰대행),경기도 파주시,경기도 파주시,건설공사,2020/10/06 17:15,2020/10/08 10:00:00,2020/10/13 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경기도 파주시],171210000,188331000,0
20201003335-00,공사,0003,토목건축공사업,망상해수욕장 관리본부 시설개선공사(건축),강원도 동해시,강원도 동해시,건설공사,2020/10/06 17:11,2020/10/07 10:00:00,2020/10/13 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[강원도 동해시],104900000,115390000,0
20201003236-00,공사,0003,토목건축공사업,"2020년 1, 2호선 역사 시설물 보수공사(2차)",서울교통공사,서울교통공사,건설공사,2020/10/06 17:08,2020/10/07 10:00:00,2020/10/13 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[서울특별시],43553000,47908300,0
20201002758-00,공사,0003,토목건축공사업,대회리 야구장 시설개선사업,충청남도 예산군,충청남도 예산군,건설공사,2020/10/06 17:04,2020/10/06 18:00:00,2020/10/13 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[충청남도 예산군],278554546,306410000,0
