입찰공고번호,업무,업종코드,업종명,공고명,공고기관,수요기관,WTO품목번호,게시일시,입찰개시일시,입찰마감일시,예가방법,추첨번호공개여부,지역제한,참가가능지역,추정가격,기초금액,A값
20201006606-00,공사,0035,시설물유지관리업,강원도청 직원 체력단련실 리모델링공사(건축),강원도,강원도,건설공사,2020/10/08 16:29,2020/10/12 10:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[강원도],66059069,72664000,0
20201006614-00,공사,0035,시설물유지관리업,[긴급]나산초등학교 외 1교 태풍피해에 따른 재난복구공사 전자입찰 공고,경상북도교육청 경상북도경주교육지원청,경상북도교육청 경상북도경주교육지원청,건설공사,2020/10/08 16:29,2020/10/08 17:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경상북도],525930000,578523000,25184418
20201006426-00,공사,0035,시설물유지관리업,담양공업고 자동화기계과 실습실 리모델링공사,전라남도교육청 담양공업고등학교,전라남도교육청 담양공업고등학교,건설공사,2020/10/08 16:21,2020/10/12 10:00:00,2020/10/15 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[전라남도 담양군],87653637,96419000,0
20201006516-00,용역,0035,시설물유지관리업,전남고 등 17교(기관) 건축물 정기안전점검용역,광주광역시교육청,광주광역시교육청,,2020/10/08 16:07,2020/10/12 10:00:00,2020/10/16 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[광주광역시],39420000,43362000,0
20201006497-00,용역,0035,시설물유지관리업,운남고 등 10교(기관) 건축물 정기안전점검용역,광주광역시교육청,광주광역시교육청,,2020/10/08 16:05,2020/10/12 10:00:00,2020/10/16 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[광주광역시],38860000,42746000,0
20201006568-00,공사,0035,시설물유지관리업,별따기배움터 주차장 구조보강공사(소액수의견적제출),재단법인 고양문화재단,재단법인 고양문화재단,건설공사,2020/10/08 16:01,2020/10/13 10:00:00,2020/10/16 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경기도 고양시],84130909,92544000,0
20201005794-00,용역,0035,시설물유지관리업,충북교육문화원외 1기관(해양교육원) 2020년도 2종시설물 정밀안전점검용역,충청북도교육청,충청북도교육청,,2020/10/08 16:00,2020/10/12 10:00:00,2020/10/15 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[충청북도],26300000,28930000,0
20201006058-00,공사,0035,시설물유지관리업,상대동 행정복지센터 내진보강공사,경상남도 진주시,경상남도 진주시,건설공사,2020/10/08 15:14,2020/10/08 16:00:00,2020/10/14 16:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경상남도],683210000,751531000,32128721
20201006391-00,공사,0035,시설물유지관리업,종로도서관 화장실개선 및 기타공사,서울특별시교육청 서울특별시교육청교육시설관리본부,서울특별시교육청 서울특별시교육청교육시설관리본부,건설공사,2020/10/08 15:13,2020/10/09 10:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[서울특별시],305705456,336276000,17927849
20201006419-00,공사,0035,시설물유지관리업,목포시장애인종합복지관 화장실 및 야외 보수공사,전라남도 목포시,전라남도 목포시,건설공사,2020/10/08 15:11,2020/10/09 10:00:00,2020/10/15 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[전라남도 목포시],39157273,43073000,0
20201005869-00,공사,0035,시설물유지관리업,충북 가정형 위(Wee)센터 구축 공사,충청북도교육청,충청북도교육청,건설공사,2020/10/08 15:03,2020/10/12 10:00:00,2020/10/15 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[충청북도],124820000,137302000,0
20201004301-00,공사,0035,시설물유지관리업,대화고등학교 교사동 재난피해 복구 공사,경기도교육청 대화고등학교,경기도교육청 대화고등학교,건설공사,2020/10/08 14:46,2020/10/09 10:00:00,2020/10/15 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경기도 고양시]  [경기도 파주시],21135455,23249000,0
20201005832-00,공사,0035,시설물유지관리업,장생포 엣마을 시설물 개선사업(보수),울산광역시 남구,울산광역시 남구,건설공사,2020/10/08 14:27,2020/10/13 10:00:00,2020/10/15 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[울산광역시],64445455,70890000,0
20201006287-00,공사,0035,시설물유지관리업,학교교육지원센터 화장실개선 및 기타공사(긴급),경상북도교육청 경상북도안동교육지원청,경상북도교육청 경상북도안동교육지원청,건설공사,2020/10/08 14:21,2020/10/08 18:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경상북도],250694545,275764000,12742555
20201006286-00,공사,0035,시설물유지관리업,백강초등학교 유치원 화장실 수선공사 및 실외 행복공간조성 공사,충청남도부여교육청 백강초등학교,충청남도부여교육청 백강초등학교,건설공사,2020/10/08 14:21,2020/10/12 10:00:00,2020/10/16 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[충청남도 부여군],39400000,43340000,0
20201005475-00,용역,0035,시설물유지관리업,금성초 등 14교 3종 시설물 정기안전점검용역,대전광역시교육청 대전광역시서부교육지원청,대전광역시교육청 대전광역시서부교육지원청,,2020/10/08 13:39,2020/10/12 10:00:00,2020/10/15 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[대전광역시],32770000,36047000,0
20201005468-00,용역,0035,시설물유지관리업,남선초 등 17교 3종 시설물 정기안전점검용역,대전광역시교육청 대전광역시서부교육지원청,대전광역시교육청 대전광역시서부교육지원청,,2020/10/08 13:35,2020/10/12 10:00:00,2020/10/15 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[대전광역시],40650000,44715000,0
20201005165-00,공사,0035,시설물유지관리업,홍천문화예술회관 보수공사,강원도 홍천군,강원도 홍천군,건설공사,2020/10/08 13:12,2020/10/08 14:00:00,2020/10/15 14:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[강원도 홍천군],127913636,140705000,0
20201006114-00,용역,0035,시설물유지관리업,국도6호선 월정교 등 3개소 정밀안전점검용역,국토교통부 원주지방국토관리청 강릉국토관리사무소,국토교통부 원주지방국토관리청 강릉국토관리사무소,,2020/10/08 13:11,2020/10/12 00:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[강원도],57272728,63000000,0
20201003916-00,공사,0035,시설물유지관리업,홍천군 (구)노인회관 리모델링공사,강원도 홍천군,강원도 홍천군,건설공사,2020/10/08 11:47,2020/10/08 14:00:00,2020/10/14 14:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[강원도],226353636,248989000,11640077
20201005949-00,공사,0035,시설물유지관리업,부여군 청소년전용공간 조성 리모델링공사,충청남도 부여군,충청남도 부여군,건설공사,2020/10/08 11:05,2020/10/13 10:00:00,2020/10/15 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[충청남도 부여군],138018450,151820000,0
20201005486-00,공사,0035,시설물유지관리업,양곡중학교 체육관 리모델링 공사,경기도김포교육청 양곡중학교,경기도김포교육청 양곡중학교,건설공사,2020/10/08 10:55,2020/10/08 14:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경기도],508551145,559406260,32784220
20201005218-00,용역,0035,시설물유지관리업,여수해양과학고 외 8교 하반기 3종시설물 정기점검 용역,전라남도교육청 전라남도여수교육지원청,전라남도교육청 전라남도여수교육지원청,,2020/10/08 10:54,2020/10/08 16:00:00,2020/10/15 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[전라남도],20280000,22308000,0
20201005195-00,용역,0035,시설물유지관리업,여수남초 외 7교 하반기 3종시설물 정기점검 용역,전라남도교육청 전라남도여수교육지원청,전라남도교육청 전라남도여수교육지원청,,2020/10/08 10:45,2020/10/08 16:00:00,2020/10/15 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[전라남도],24330000,26763000,0
20201005049-00,용역,0035,시설물유지관리업,여천중학교 외 9교 하반기 3종시설물 정기점검 용역,전라남도교육청 전라남도여수교육지원청,전라남도교육청 전라남도여수교육지원청,"법률·회계·감사·장부기장·세무, 시장조사·여론조사, 경영컨설팅, 설계·엔지니어링·기타 기술용역",2020/10/08 10:34,2020/10/08 16:00:00,2020/10/15 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[전라남도],21180000,23298000,0
20201004569-00,용역,0035,시설물유지관리업,여수남산초 외 8교 하반기 3종시설물 정기점검 용역,전라남도교육청 전라남도여수교육지원청,전라남도교육청 전라남도여수교육지원청,"법률·회계·감사·장부기장·세무, 시장조사·여론조사, 경영컨설팅, 설계·엔지니어링·기타 기술용역",2020/10/08 10:15,2020/10/08 16:00:00,2020/10/15 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[전라남도],22550000,24805000,0
20201005510-00,공사,0035,시설물유지관리업,전라남도창의융합교육원 융합관 정보화연수실 보수공사,전라남도교육청 창의융합교육원,전라남도교육청 창의융합교육원,건설공사,2020/10/08 10:04,2020/10/08 14:00:00,2020/10/13 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[전라남도],339500000,373450000,15991592
20201005353-02,공사,0035,시설물유지관리업,시립강동청소년센터 기계 ㆍ 설비실 천정 흡음판 교체공사,시립강동청소년센터,시립강동청소년센터,건설공사,2020/10/08 10:00,2020/10/08 13:00:00,2020/10/19 12:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[서울특별시],10550000,11605000,0
20201005426-00,공사,0035,시설물유지관리업,충현도서관 리모델링 공사(건축+기계),경기도 광명시,경기도 광명시,건설공사,2020/10/08 09:47,2020/10/08 15:00:00,2020/10/16 15:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경기도],418877272,460765000,25670178
20201005690-00,공사,0035,시설물유지관리업,공공기관 유휴공간 활용 주민커뮤니티공간 조성공사,충청남도 논산시,충청남도 논산시,건설공사,2020/10/08 09:34,2020/10/13 14:00:00,2020/10/15 14:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[충청남도 논산시],37750000,41525000,0
20201005600-00,공사,0035,시설물유지관리업,백강초등학교 외벽개선공사,충청남도교육청 충청남도부여교육지원청,충청남도교육청 충청남도부여교육지원청,건설공사,2020/10/08 08:48,2020/10/08 10:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[충청남도 부여군],41158181,45274000,0
20201005477-00,용역,0035,시설물유지관리업,2020년 하반기 강북권 수문 정기안전점검용역,충청남도 공주시,충청남도 공주시,,2020/10/07 20:31,2020/10/08 17:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[충청남도 공주시],48640000,53504000,0
20201005465-00,용역,0035,시설물유지관리업,2020년 하반기 강남권 수문 정기안전점검용역,충청남도 공주시,충청남도 공주시,,2020/10/07 20:20,2020/10/08 17:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[충청남도 공주시],44420000,48862000,0
20201005412-00,공사,0035,시설물유지관리업,삼례시장 시설 개선사업,전라북도 완주군,전라북도 완주군,건설공사,2020/10/07 19:14,2020/10/12 14:00:00,2020/10/14 14:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[전라북도 완주군],88902727,97793000,0
20201001935-00,공사,0035,시설물유지관리업,광산문화원 외벽 리모델링 공사,광주광역시 광산구,광주광역시 광산구,건설공사,2020/10/07 18:41,2020/10/12 09:00:00,2020/10/14 14:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[광주광역시],157035460,172739000,0
20201004588-00,용역,0035,시설물유지관리업,가수원중 등 15교 3종 시설물 정기안전점검용역,대전광역시교육청 대전광역시서부교육지원청,대전광역시교육청 대전광역시서부교육지원청,,2020/10/07 18:26,2020/10/08 10:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[대전광역시],33230000,36553000,0
20201004646-00,용역,0035,시설물유지관리업,대전갈마중 등 15교 3종 시설물 정기안전점검용역,대전광역시교육청 대전광역시서부교육지원청,대전광역시교육청 대전광역시서부교육지원청,,2020/10/07 18:21,2020/10/08 10:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[대전광역시],36140000,39754000,0
20201004603-00,용역,0035,시설물유지관리업,대전가장초 등 11교 3종 시설물 정기안전점검용역,대전광역시교육청 대전광역시서부교육지원청,대전광역시교육청 대전광역시서부교육지원청,,2020/10/07 18:14,2020/10/08 10:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[대전광역시],29450000,32395000,0
20201005303-00,공사,0035,시설물유지관리업,"도화소어린이공원화장실 외 3개소 시설개선 공사(건축,기계)",서울특별시 마포구,서울특별시 마포구,건설공사,2020/10/07 18:05,2020/10/08 09:00:00,2020/10/13 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[서울특별시],280660910,308727000,17778428
20201004876-00,공사,0035,시설물유지관리업,지역총국 석면함유자재 마감재 교체공사(광주),한국방송공사,한국방송공사,건설공사,2020/10/07 17:56,2020/10/13 09:00:00,2020/10/15 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[광주광역시],47814000,47000000,0
20201005248-00,공사,0035,시설물유지관리업,2020년 법정도로 응급(보수)복구공사 단가계약 3차 2권역,경기도 남양주시 도시관리사업소,경기도 남양주시 도시관리사업소,건설공사,2020/10/07 17:44,2020/10/12 09:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경기도 남양주시],81818182,85253118,0
20201004850-00,공사,0035,시설물유지관리업,지역총국 석면함유자재 마감재 교체공사(청주),한국방송공사,한국방송공사,건설공사,2020/10/07 17:39,2020/10/13 09:00:00,2020/10/15 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[충청북도],52215000,51500000,0
20201005224-00,공사,0035,시설물유지관리업,2020년 법정도로 응급(보수)복구공사 단가계약 3차 1권역,경기도 남양주시 도시관리사업소,경기도 남양주시 도시관리사업소,건설공사,2020/10/07 17:36,2020/10/12 09:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경기도 남양주시],81818182,85253118,0
20201004832-00,공사,0035,시설물유지관리업,지역총국 석면함유자재 마감재 교체공사(대구),한국방송공사,한국방송공사,건설공사,2020/10/07 17:33,2020/10/13 09:00:00,2020/10/15 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[대구광역시],82427000,81200000,0
20201004771-00,공사,0035,시설물유지관리업,1호선 기지 검수대기실 확장공사,대구도시철도공사,대구도시철도공사,건설공사,2020/10/07 17:27,2020/10/08 10:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[대구광역시],55636364,61200000,0
20201005129-00,공사,0035,시설물유지관리업,목포시의료원 병실 환기설비 개선공사,목포시의료원,목포시의료원,건설공사,2020/10/07 17:09,2020/10/08 10:00:00,2020/10/12 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[전라남도 목포시],82167000,90383700,0
20201005128-00,공사,0035,시설물유지관리업,국지도86호선 한서교 외 1개소 보수보강공사,강원도,강원도 도로관리사업소,건설공사,2020/10/07 17:06,2020/10/12 10:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[강원도],136918281,151040000,0
20201004831-00,공사,0035,시설물유지관리업,서울흑석초등학교 외벽 도장 및 기타공사,서울특별시동작교육청 서울흑석초등학교,서울특별시동작교육청 서울흑석초등학교,건설공사,2020/10/07 16:59,2020/10/08 10:00:00,2020/10/12 17:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[서울특별시],232921819,256214000,14696439
20201005092-00,공사,0035,시설물유지관리업,2020년 지방도411호선 양촌교 교량보수공사,강원도,강원도 도로관리사업소,건설공사,2020/10/07 16:58,2020/10/12 10:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[강원도],311580000,342738000,12676275
20201005061-00,공사,0035,시설물유지관리업,2020년 지방도444호선 용수교 보수보강공사,강원도,강원도 도로관리사업소,건설공사,2020/10/07 16:50,2020/10/12 10:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[강원도],101870910,112058000,0
20201004106-00,공사,0035,시설물유지관리업,사도교양교육원 복지관 화장실 보수공사(건축),조달청 충북지방조달청,한국교원대학교,건설공사,2020/10/07 16:45,2020/10/13 00:00:00,2020/10/15 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[충청북도],65550000,69941000,0
20201004984-00,공사,0035,시설물유지관리업,곡성교육지원청 청사 지하실 보수공사 소액 수의견적 안내 공고,전라남도교육청 전라남도곡성교육지원청,전라남도교육청 전라남도곡성교육지원청,건설공사,2020/10/07 16:33,2020/10/08 10:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[전라남도 곡성군],28298182,31128000,0
20201003759-00,공사,0035,시설물유지관리업,2020 대서 마암마을 회관 보수공사(2회추경),전라남도 고흥군,전라남도 고흥군,건설공사,2020/10/07 16:26,2020/10/08 12:00:00,2020/10/14 12:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[전라남도 고흥군],40700000,44770000,0
20201004660-00,공사,0035,시설물유지관리업,초당초 체육관 보수공사,강원도교육청 강원도강릉교육지원청,강원도교육청 강원도강릉교육지원청,건설공사,2020/10/07 15:36,2020/10/12 10:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[강원도 강릉시],73277273,80605000,0
20201004714-00,공사,0035,시설물유지관리업,병점역 자전거보관소 정비공사,경기도 화성시 동부출장소,경기도 화성시 동부출장소,건설공사,2020/10/07 15:09,2020/10/08 09:00:00,2020/10/14 14:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경기도 화성시],100420000,110462000,0
20201004622-00,공사,0035,시설물유지관리업,까치울중 소방차로 개선공사,경기도교육청 경기도부천교육지원청,경기도교육청 경기도부천교육지원청,건설공사,2020/10/07 14:45,2020/10/08 11:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경기도 부천시]  [경기도 광명시],20000000,22000000,0
20201003075-00,공사,0035,시설물유지관리업,홍천국토관리사무소(숙소 및 식당동) 보수보강공사,국토교통부 원주지방국토관리청 홍천국토관리사무소,국토교통부 원주지방국토관리청 홍천국토관리사무소,건설공사,2020/10/07 14:37,2020/10/11 00:00:00,2020/10/13 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[강원도],103994546,114394000,5945271
20201004496-00,용역,0035,시설물유지관리업,2020년 장안대교 등 3개소 정밀안전점검용역,경기도,경기도 경기도건설본부,,2020/10/07 14:15,2020/10/08 10:00:00,2020/10/15 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경기도],58660000,64526000,0
20201003341-00,공사,0035,시설물유지관리업,대전글꽃초 외 1교(대전글꽃중)교실수선 및 기타공사,대전광역시교육청 대전광역시동부교육지원청,대전광역시교육청 대전광역시동부교육지원청,건설공사,2020/10/07 14:03,2020/10/08 10:00:00,2020/10/15 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[대전광역시],226010000,248611000,11624105
20201004423-00,공사,0035,시설물유지관리업,삼길포관광안내소 외벽보수공사(건축공사),충청남도 서산시,충청남도 서산시,건설공사,2020/10/07 13:56,2020/10/12 10:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[충청남도 서산시],23547182,25901000,0
20201004381-00,공사,0035,시설물유지관리업,비봉초 화장실 보수공사 입찰공고,충청북도교육청 충청북도청주교육지원청,충청북도교육청 충청북도청주교육지원청,건설공사,2020/10/07 13:42,2020/10/12 10:00:00,2020/10/15 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[충청북도],267750000,294525000,15543968
20201004191-00,공사,0035,시설물유지관리업,주문6리 마을회관(경로당) 외벽 개선공사,강원도 강릉시 주문진읍,강원도 강릉시 주문진읍,건설공사,2020/10/07 13:21,2020/10/08 10:00:00,2020/10/13 14:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[강원도 강릉시],45394550,49934000,0
20201004286-00,공사,0035,시설물유지관리업,도마2동 도시재생 집수리사업,대전광역시 서구,대전광역시 서구,건설공사,2020/10/07 13:15,2020/10/08 09:00:00,2020/10/13 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[대전광역시],257027272,282730000,16864527
20201003793-00,용역,0035,시설물유지관리업,대전갑천중 등 16교 3종 시설물 정기안전점검용역,대전광역시교육청 대전광역시서부교육지원청,대전광역시교육청 대전광역시서부교육지원청,,2020/10/07 13:12,2020/10/08 10:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[대전광역시],32390000,35629000,0
20201003794-00,공사,0035,시설물유지관리업,장흥초 외 3교 내진 보강공사,전라남도교육청 전라남도장흥교육지원청,전라남도교육청 전라남도장흥교육지원청,건설공사,2020/10/07 12:52,2020/10/07 17:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[전라남도 장흥군],80094545,88104000,0
20201004279-00,공사,0035,시설물유지관리업,무안소방서(본서) 및 119지역대 환경개선공사,전라남도 무안소방서,전라남도 무안소방서,건설공사,2020/10/07 12:22,2020/10/12 09:00:00,2020/10/14 12:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[전라남도 무안군],27989091,30788000,0
20201001904-00,공사,0035,시설물유지관리업,울산제일고등학교 화장실개선공사,울산광역시교육청 울산제일고등학교,울산광역시교육청 울산제일고등학교,건설공사,2020/10/07 11:33,2020/10/07 17:00:00,2020/10/23 11:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,공고서 참조,,936060000,1029666000,51940022
20201004144-00,공사,0035,시설물유지관리업,광주법원종합청사 구조보강공사,대법원 광주고등법원,대법원 광주고등법원,건설공사,2020/10/07 11:17,2020/10/08 10:00:00,2020/10/13 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[광주광역시],231363640,254500000,14936999
20201004109-00,공사,0035,시설물유지관리업,대구보건학교 방송실 구축 및 드라이비트 제거공사 입찰공고,대구광역시교육청 대구보건학교,대구광역시교육청 대구보건학교,건설공사,2020/10/07 10:59,2020/10/07 11:00:00,2020/10/12 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[대구광역시],280790000,308869000,12906718
20201004102-00,용역,0035,시설물유지관리업,2020년 하반기 도로시설물 정기점검용역,울산광역시 울주군,울산광역시 울주군,,2020/10/07 10:51,2020/10/08 09:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[울산광역시],26100000,28710000,0
20201000403-00,공사,0035,시설물유지관리업,목련관외 3개동 환경개선공사,조달청 강원지방조달청,춘천교육대학교,건설공사,2020/10/07 10:39,2020/10/13 10:00:00,2020/10/15 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[강원도],108513637,122798000,0
20201004033-00,공사,0035,시설물유지관리업,2020년 국가어항(격포항 등 4개항) 유지보수공사,한국어촌어항공단,한국어촌어항공단,건설공사,2020/10/07 10:25,2020/10/08 10:00:00,2020/10/15 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[전라북도],171331819,188465000,7493262
20201004016-00,공사,0035,시설물유지관리업,2020년 국가어항(녹동항 등 5개항) 유지보수공사,한국어촌어항공단,한국어촌어항공단,건설공사,2020/10/07 10:17,2020/10/08 10:00:00,2020/10/13 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[전라남도],232276562,255504218,10102176
20201003892-00,용역,0035,시설물유지관리업,2020년 하반기 시설물안전법 대상 시설물 정기안전점검 용역,경기도 과천시,경기도 과천시,기타용역,2020/10/07 10:08,2020/10/12 10:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경기도 과천시]                                                      [경기도 안양시]                                                      [경기도 의왕시],41400000,45540000,0
20201001839-00,공사,0035,시설물유지관리업,동부권역 BTL 통합운영사무소 건설공사(리모델링),부산광역시,부산광역시,건설공사,2020/10/07 09:47,2020/10/12 09:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[부산광역시],444530000,488983000,24914006
20201003466-00,공사,0035,시설물유지관리업,천내중학교 외 4교 환경개선공사,대구광역시교육청 대구광역시달성교육지원청,대구광역시교육청 대구광역시달성교육지원청,건설공사,2020/10/07 09:41,2020/10/08 10:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[대구광역시],113794546,125174000,7761164
20201003483-00,공사,0035,시설물유지관리업,대구반송초등학교 외 3교 환경개선공사,대구광역시교육청 대구광역시달성교육지원청,대구광역시교육청 대구광역시달성교육지원청,건설공사,2020/10/07 09:33,2020/10/08 10:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[대구광역시],138598182,152458000,7862501
20201003882-00,공사,0035,시설물유지관리업,"고용환경개선사업 화장실, 휴게실 등 설치공사",주식회사 경성인터내셔널,주식회사 경성인터내셔널,건설공사,2020/10/07 09:31,2020/10/07 11:00:00,2020/10/14 11:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경기도 의정부시],62000000,68200000,0
20201003216-00,용역,0035,시설물유지관리업,2020년 하반기 검단고등학교외 11교 제3종시설물(옹벽)정기안전점검용역 수의계약 안내공고,인천광역시교육청 인천광역시서부교육지원청,인천광역시교육청 인천광역시서부교육지원청,,2020/10/07 08:56,2020/10/08 10:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[인천광역시],22370000,24607000,0
20201003243-00,용역,0035,시설물유지관리업,2020년 하반기 가정고등학교외 3교 제2종시설물(옹벽)정기안전점검용역,인천광역시교육청 인천광역시서부교육지원청,인천광역시교육청 인천광역시서부교육지원청,,2020/10/07 08:45,2020/10/08 10:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[인천광역시],9880000,10868000,0
20201003828-00,공사,0035,시설물유지관리업,한국소리문화의전당 화장실 및 지붕 보수공사,전라북도,전라북도,건설공사,2020/10/07 08:40,2020/10/12 10:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[전라북도],78412727,86254000,0
